m-pa6-daily,https://tools.franceix.net/static/images/observium/pa6-1d_from0.png,10G,1D
pa-pa7-daily,https://tools.franceix.net/static/images/observium/pa7-1d_from0.png,10G,1D
pa-dc2-daily,https://tools.franceix.net/static/images/observium/dc2-1d_from0.png,10G,1D
pa-dc3-daily,https://tools.franceix.net/static/images/observium/dc3-1d_from0.png,10G,1D
pa-par1-daily,https://tools.franceix.net/static/images/observium/par1-1d_from0.png,10G,1D
pa-par2-daily,https://tools.franceix.net/static/images/observium/par2-1d_from0.png,10G,1D
pa-par5-daily,https://tools.franceix.net/static/images/observium/par5-1d_from0.png,10G,1D
pa-th2-daily,https://tools.franceix.net/static/images/observium/th2-1d_from0.png,10G,1D
pa-th3-daily,https://tools.franceix.net/static/images/observium/th3-1d_from0.png,10G,1D
ma-i-daily,https://tools.franceix.net/static/images/observium/i-mrs01-1d_from0.png,10G,1D
ma-j-daily,https://tools.franceix.net/static/images/observium/j-mrs01-1d_from0.png,10G,1D
pa-pa6-weekly,https://tools.franceix.net/static/images/observium/pa6-1w_from0.png,10G,7D
pa-pa7-weekly,https://tools.franceix.net/static/images/observium/pa7-1w_from0.png,10G,7D
pa-dc2-weekly,https://tools.franceix.net/static/images/observium/dc2-1w_from0.png,10G,7D
pa-dc3-weekly,https://tools.franceix.net/static/images/observium/dc3-1w_from0.png,10G,7D
pa-par1-weekly,https://tools.franceix.net/static/images/observium/par1-1w_from0.png,10G,7D
pa-par2-weekly,https://tools.franceix.net/static/images/observium/par2-1w_from0.png,10G,7D
pa-par5-weekly,https://tools.franceix.net/static/images/observium/par5-1w_from0.png,10G,7D
pa-th2-weekly,https://tools.franceix.net/static/images/observium/th2-1w_from0.png,10G,7D
pa-th3-weekly,https://tools.franceix.net/static/images/observium/th3-1w_from0.png,10G,7D
ma-i-weekly,https://tools.franceix.net/static/images/observium/i-mrs01-1w_from0.png,10G,7D
